"States","Regions","Latitude","Longitude","Dates","Power_Usage","Date_Converted"
"HP","NR","31.100025","77.166597","05/01/2019","30.20","2019-01-05"
"J&K","NR","33.450000","76.240000","05/01/2019","51.50","2019-01-05"
"Chandigarh","NR","30.719997","76.780006","05/01/2019","4.30","2019-01-05"
"Chhattisgarh","WR","22.090420","82.159987","05/01/2019","69.00","2019-01-05"
"Gujarat","WR","22.258700","71.192400","05/01/2019","313.20","2019-01-05"
"MP","WR","21.300391","76.130019","05/01/2019","228.20","2019-01-05"
"Maharashtra","WR","19.250232","73.160175","05/01/2019","411.10","2019-01-05"
"Goa","WR","15.491997","73.818001","05/01/2019","13.00","2019-01-05"
"DNH","WR","20.266578","73.016618","05/01/2019","17.60","2019-01-05"
"Andhra Pradesh","SR","14.750429","78.570026","05/01/2019","167.40","2019-01-05"
"Telangana","SR","18.112400","79.019300","05/01/2019","201.70","2019-01-05"
"Karnataka","SR","12.570381","76.919997","05/01/2019","212.40","2019-01-05"
"Kerala","SR","8.900373","76.569993","05/01/2019","75.40","2019-01-05"
"Tamil Nadu","SR","12.920386","79.150042","05/01/2019","286.80","2019-01-05"
"Pondy","SR","11.934994","79.830000","05/01/2019","6.60","2019-01-05"
"Bihar","ER","25.785414","87.479973","05/01/2019","77.00","2019-01-05"
"Jharkhand","ER","23.800393","86.419986","05/01/2019","23.00","2019-01-05"
"Odisha","ER","19.820430","85.900017","05/01/2019","65.80","2019-01-05"
"West Bengal","ER","22.580390","88.329947","05/01/2019","107.00","2019-01-05"
"Sikkim","ER","27.333330","88.616648","05/01/2019","2.00","2019-01-05"
"Arunachal Pradesh","NER","27.100399","93.616601","05/01/2019","2.20","2019-01-05"
"Assam","NER","26.749981","94.216667","05/01/2019","22.50","2019-01-05"
"Manipur","NER","24.799971","93.950017","05/01/2019","2.70","2019-01-05"
"Meghalaya","NER","25.570492","91.880014","05/01/2019","5.70","2019-01-05"
"Mizoram","NER","23.710399","92.720015","05/01/2019","1.80","2019-01-05"
"Nagaland","NER","25.666998","94.116570","05/01/2019","2.30","2019-01-05"
"Tripura","NER","23.835404","91.279999","05/01/2019","3.50","2019-01-05"
"Punjab","NR","31.519974","75.980003","06/01/2019","121.40","2019-01-06"
"Haryana","NR","28.450006","77.019991","06/01/2019","132.60","2019-01-06"
"Rajasthan","NR","26.449999","74.639981","06/01/2019","240.40","2019-01-06"
"Delhi","NR","28.669993","77.230004","06/01/2019","76.60","2019-01-06"
"UP","NR","27.599981","78.050006","06/01/2019","286.80","2019-01-06"
"Uttarakhand","NR","30.320409","78.050006","06/01/2019","39.20","2019-01-06"
"HP","NR","31.100025","77.166597","06/01/2019","31.00","2019-01-06"
"J&K","NR","33.450000","76.240000","06/01/2019","53.20","2019-01-06"
"Chandigarh","NR","30.719997","76.780006","06/01/2019","4.30","2019-01-06"
"Chhattisgarh","WR","22.090420","82.159987","06/01/2019","68.10","2019-01-06"
"Gujarat","WR","22.258700","71.192400","06/01/2019","320.70","2019-01-06"
"MP","WR","21.300391","76.130019","06/01/2019","227.40","2019-01-06"
"Maharashtra","WR","19.250232","73.160175","06/01/2019","408.60","2019-01-06"
"Goa","WR","15.491997","73.818001","06/01/2019","12.90","2019-01-06"
"DNH","WR","20.266578","73.016618","06/01/2019","18.60","2019-01-06"
"Andhra Pradesh","SR","14.750429","78.570026","06/01/2019","171.20","2019-01-06"
"Telangana","SR","18.112400","79.019300","06/01/2019","194.90","2019-01-06"
"Karnataka","SR","12.570381","76.919997","06/01/2019","217.50","2019-01-06"
"Kerala","SR","8.900373","76.569993","06/01/2019","75.40","2019-01-06"
"Tamil Nadu","SR","12.920386","79.150042","06/01/2019","298.30","2019-01-06"
"Pondy","SR","11.934994","79.830000","06/01/2019","7.20","2019-01-06"
"Bihar","ER","25.785414","87.479973","06/01/2019","76.40","2019-01-06"
"Jharkhand","ER","23.800393","86.419986","06/01/2019","22.60","2019-01-06"
"Odisha","ER","19.820430","85.900017","06/01/2019","62.90","2019-01-06"
"West Bengal","ER","22.580390","88.329947","06/01/2019","106.40","2019-01-06"
"Sikkim","ER","27.333330","88.616648","06/01/2019","2.00","2019-01-06"
"Arunachal Pradesh","NER","27.100399","93.616601","06/01/2019","2.20","2019-01-06"
"Assam","NER","26.749981","94.216667","06/01/2019","21.70","2019-01-06"
"Manipur","NER","24.799971","93.950017","06/01/2019","2.70","2019-01-06"
"Meghalaya","NER","25.570492","91.880014","06/01/2019","6.20","2019-01-06"
"Mizoram","NER","23.710399","92.720015","06/01/2019","1.90","2019-01-06"
"Nagaland","NER","25.666998","94.116570","06/01/2019","2.30","2019-01-06"
"Tripura","NER","23.835404","91.279999","06/01/2019","3.30","2019-01-06"
"Punjab","NR","31.519974","75.980003","07/01/2019","118.00","2019-01-07"
"Haryana","NR","28.450006","77.019991","07/01/2019","132.10","2019-01-07"
"Rajasthan","NR","26.449999","74.639981","07/01/2019","241.90","2019-01-07"
"Delhi","NR","28.669993","77.230004","07/01/2019","71.10","2019-01-07"
"UP","NR","27.599981","78.050006","07/01/2019","294.20","2019-01-07"
"Uttarakhand","NR","30.320409","78.050006","07/01/2019","40.10","2019-01-07"
"HP","NR","31.100025","77.166597","07/01/2019","30.10","2019-01-07"
"J&K","NR","33.450000","76.240000","07/01/2019","53.30","2019-01-07"
"Chandigarh","NR","30.719997","76.780006","07/01/2019","4.00","2019-01-07"
"Chhattisgarh","WR","22.090420","82.159987","07/01/2019","73.10","2019-01-07"
"Gujarat","WR","22.258700","71.192400","07/01/2019","319.40","2019-01-07"
"MP","WR","21.300391","76.130019","07/01/2019","230.30","2019-01-07"
"Maharashtra","WR","19.250232","73.160175","07/01/2019","408.10","2019-01-07"
"Goa","WR","15.491997","73.818001","07/01/2019","12.70","2019-01-07"
"DNH","WR","20.266578","73.016618","07/01/2019","18.30","2019-01-07"
"Andhra Pradesh","SR","14.750429","78.570026","07/01/2019","166.40","2019-01-07"
"Telangana","SR","18.112400","79.019300","07/01/2019","191.90","2019-01-07"
"Karnataka","SR","12.570381","76.919997","07/01/2019","217.40","2019-01-07"
"Kerala","SR","8.900373","76.569993","07/01/2019","74.90","2019-01-07"
"Tamil Nadu","SR","12.920386","79.150042","07/01/2019","294.20","2019-01-07"
"Pondy","SR","11.934994","79.830000","07/01/2019","7.00","2019-01-07"
"Bihar","ER","25.785414","87.479973","07/01/2019","75.30","2019-01-07"
"Jharkhand","ER","23.800393","86.419986","07/01/2019","23.90","2019-01-07"
"Odisha","ER","19.820430","85.900017","07/01/2019","64.00","2019-01-07"
"West Bengal","ER","22.580390","88.329947","07/01/2019","109.30","2019-01-07"
"Sikkim","ER","27.333330","88.616648","07/01/2019","1.50","2019-01-07"
"Arunachal Pradesh","NER","27.100399","93.616601","07/01/2019","2.20","2019-01-07"
"Assam","NER","26.749981","94.216667","07/01/2019","21.40","2019-01-07"
"Manipur","NER","24.799971","93.950017","07/01/2019","2.50","2019-01-07"
"Meghalaya","NER","25.570492","91.880014","07/01/2019","6.10","2019-01-07"
"Mizoram","NER","23.710399","92.720015","07/01/2019","1.80","2019-01-07"
"Nagaland","NER","25.666998","94.116570","07/01/2019","2.30","2019-01-07"
"Tripura","NER","23.835404","91.279999","07/01/2019","3.30","2019-01-07"
"Punjab","NR","31.519974","75.980003","08/01/2019","107.50","2019-01-08"
"Haryana","NR","28.450006","77.019991","08/01/2019","121.40","2019-01-08"
"Rajasthan","NR","26.449999","74.639981","08/01/2019","237.20","2019-01-08"
"Delhi","NR","28.669993","77.230004","08/01/2019","69.00","2019-01-08"
"UP","NR","27.599981","78.050006","08/01/2019","289.40","2019-01-08"
"Uttarakhand","NR","30.320409","78.050006","08/01/2019","37.00","2019-01-08"
"HP","NR","31.100025","77.166597","08/01/2019","29.20","2019-01-08"
"J&K","NR","33.450000","76.240000","08/01/2019","51.20","2019-01-08"
"Chandigarh","NR","30.719997","76.780006","08/01/2019","3.80","2019-01-08"
"Chhattisgarh","WR","22.090420","82.159987","08/01/2019","74.20","2019-01-08"
"Gujarat","WR","22.258700","71.192400","08/01/2019","307.90","2019-01-08"
"MP","WR","21.300391","76.130019","08/01/2019","228.80","2019-01-08"
"Maharashtra","WR","19.250232","73.160175","08/01/2019","398.20","2019-01-08"
"Goa","WR","15.491997","73.818001","08/01/2019","10.90","2019-01-08"
"DNH","WR","20.266578","73.016618","08/01/2019","18.10","2019-01-08"
"Andhra Pradesh","SR","14.750429","78.570026","08/01/2019","160.80","2019-01-08"
"Telangana","SR","18.112400","79.019300","08/01/2019","190.80","2019-01-08"
"Karnataka","SR","12.570381","76.919997","08/01/2019","201.00","2019-01-08"
"Kerala","SR","8.900373","76.569993","08/01/2019","68.20","2019-01-08"
"Tamil Nadu","SR","12.920386","79.150042","08/01/2019","279.20","2019-01-08"
"Pondy","SR","11.934994","79.830000","08/01/2019","6.50","2019-01-08"
"Bihar","ER","25.785414","87.479973","08/01/2019","76.20","2019-01-08"
"Jharkhand","ER","23.800393","86.419986","08/01/2019","23.30","2019-01-08"
"Odisha","ER","19.820430","85.900017","08/01/2019","63.60","2019-01-08"
"West Bengal","ER","22.580390","88.329947","08/01/2019","102.90","2019-01-08"
"Sikkim","ER","27.333330","88.616648","08/01/2019","1.60","2019-01-08"
"Arunachal Pradesh","NER","27.100399","93.616601","08/01/2019","2.30","2019-01-08"
"Assam","NER","26.749981","94.216667","08/01/2019","20.70","2019-01-08"
"Manipur","NER","24.799971","93.950017","08/01/2019","2.60","2019-01-08"
"Meghalaya","NER","25.570492","91.880014","08/01/2019","6.20","2019-01-08"
"Mizoram","NER","23.710399","92.720015","08/01/2019","1.80","2019-01-08"
"Nagaland","NER","25.666998","94.116570","08/01/2019","2.10","2019-01-08"
"Tripura","NER","23.835404","91.279999","08/01/2019","3.30","2019-01-08"
"Punjab","NR","31.519974","75.980003","09/01/2019","132.50","2019-01-09"
"Haryana","NR","28.450006","77.019991","09/01/2019","148.20","2019-01-09"
"Rajasthan","NR","26.449999","74.639981","09/01/2019","197.00","2019-01-09"
"Delhi","NR","28.669993","77.230004","09/01/2019","89.20","2019-01-09"
"UP","NR","27.599981","78.050006","09/01/2019","258.60","2019-01-09"
"Uttarakhand","NR","30.320409","78.050006","09/01/2019","35.90","2019-01-09"
"HP","NR","31.100025","77.166597","09/01/2019","25.30","2019-01-09"
"J&K","NR","33.450000","76.240000","09/01/2019","37.90","2019-01-09"
"Chandigarh","NR","30.719997","76.780006","09/01/2019","3.90","2019-01-09"
"Chhattisgarh","WR","22.090420","82.159987","09/01/2019","77.20","2019-01-09"
"Gujarat","WR","22.258700","71.192400","09/01/2019","260.00","2019-01-09"
"MP","WR","21.300391","76.130019","09/01/2019","162.50","2019-01-09"
"Maharashtra","WR","19.250232","73.160175","09/01/2019","400.90","2019-01-09"
"Goa","WR","15.491997","73.818001","09/01/2019","12.10","2019-01-09"
"DNH","WR","20.266578","73.016618","09/01/2019","18.00","2019-01-09"
"Andhra Pradesh","SR","14.750429","78.570026","09/01/2019","163.00","2019-01-09"
"Telangana","SR","18.112400","79.019300","09/01/2019","167.50","2019-01-09"
"Karnataka","SR","12.570381","76.919997","09/01/2019","173.60","2019-01-09"
"Kerala","SR","8.900373","76.569993","09/01/2019","67.90","2019-01-09"
"Tamil Nadu","SR","12.920386","79.150042","09/01/2019","280.40","2019-01-09"
"Pondy","SR","11.934994","79.830000","09/01/2019","7.60","2019-01-09"
"Bihar","ER","25.785414","87.479973","09/01/2019","56.40","2019-01-09"
"Jharkhand","ER","23.800393","86.419986","09/01/2019","19.20","2019-01-09"
"Odisha","ER","19.820430","85.900017","09/01/2019","86.60","2019-01-09"
"West Bengal","ER","22.580390","88.329947","09/01/2019","131.70","2019-01-09"
"Sikkim","ER","27.333330","88.616648","09/01/2019","1.10","2019-01-09"
"Arunachal Pradesh","NER","27.100399","93.616601","09/01/2019","2.10","2019-01-09"
"Assam","NER","26.749981","94.216667","09/01/2019","25.80","2019-01-09"
"Manipur","NER","24.799971","93.950017","09/01/2019","2.30","2019-01-09"
"Meghalaya","NER","25.570492","91.880014","09/01/2019","6.00","2019-01-09"
"Mizoram","NER","23.710399","92.720015","09/01/2019","1.70","2019-01-09"
"Nagaland","NER","25.666998","94.116570","09/01/2019","2.40","2019-01-09"
"Tripura","NER","23.835404","91.279999","09/01/2019","4.20","2019-01-09"
"Punjab","NR","31.519974","75.980003","10/01/2019","131.50","2019-01-10"
"Haryana","NR","28.450006","77.019991","10/01/2019","157.00","2019-01-10"
"Rajasthan","NR","26.449999","74.639981","10/01/2019","199.90","2019-01-10"
"Delhi","NR","28.669993","77.230004","10/01/2019","92.80","2019-01-10"
"UP","NR","27.599981","78.050006","10/01/2019","284.20","2019-01-10"
"Uttarakhand","NR","30.320409","78.050006","10/01/2019","35.30","2019-01-10"
"HP","NR","31.100025","77.166597","10/01/2019","26.50","2019-01-10"
"J&K","NR","33.450000","76.240000","10/01/2019","31.70","2019-01-10"
"Chandigarh","NR","30.719997","76.780006","10/01/2019","3.90","2019-01-10"
"Chhattisgarh","WR","22.090420","82.159987","10/01/2019","79.00","2019-01-10"
"Gujarat","WR","22.258700","71.192400","10/01/2019","268.30","2019-01-10"
"MP","WR","21.300391","76.130019","10/01/2019","159.60","2019-01-10"
"Maharashtra","WR","19.250232","73.160175","10/01/2019","409.70","2019-01-10"
"Goa","WR","15.491997","73.818001","10/01/2019","12.10","2019-01-10"
"DNH","WR","20.266578","73.016618","10/01/2019","17.80","2019-01-10"
"Andhra Pradesh","SR","14.750429","78.570026","10/01/2019","168.80","2019-01-10"
"Telangana","SR","18.112400","79.019300","10/01/2019","173.40","2019-01-10"
"Karnataka","SR","12.570381","76.919997","10/01/2019","176.00","2019-01-10"
"Kerala","SR","8.900373","76.569993","10/01/2019","68.90","2019-01-10"
"Tamil Nadu","SR","12.920386","79.150042","10/01/2019","290.80","2019-01-10"
"Pondy","SR","11.934994","79.830000","10/01/2019","7.90","2019-01-10"
"Bihar","ER","25.785414","87.479973","10/01/2019","69.90","2019-01-10"
"Jharkhand","ER","23.800393","86.419986","10/01/2019","21.80","2019-01-10"
"Odisha","ER","19.820430","85.900017","10/01/2019","78.80","2019-01-10"
"West Bengal","ER","22.580390","88.329947","10/01/2019","140.10","2019-01-10"
"Sikkim","ER","27.333330","88.616648","10/01/2019","1.10","2019-01-10"
"Arunachal Pradesh","NER","27.100399","93.616601","10/01/2019","2.10","2019-01-10"
"Assam","NER","26.749981","94.216667","10/01/2019","25.80","2019-01-10"
"Manipur","NER","24.799971","93.950017","10/01/2019","2.40","2019-01-10"
"Meghalaya","NER","25.570492","91.880014","10/01/2019","6.20","2019-01-10"
"Mizoram","NER","23.710399","92.720015","10/01/2019","1.70","2019-01-10"
"Nagaland","NER","25.666998","94.116570","10/01/2019","2.10","2019-01-10"
"Tripura","NER","23.835404","91.279999","10/01/2019","4.30","2019-01-10"
"Punjab","NR","31.519974","75.980003","11/01/2019","130.30","2019-01-11"
"Haryana","NR","28.450006","77.019991","11/01/2019","145.30","2019-01-11"
"Rajasthan","NR","26.449999","74.639981","11/01/2019","187.70","2019-01-11"
"Delhi","NR","28.669993","77.230004","11/01/2019","79.50","2019-01-11"
"UP","NR","27.599981","78.050006","11/01/2019","281.40","2019-01-11"
"Uttarakhand","NR","30.320409","78.050006","11/01/2019","30.10","2019-01-11"
"HP","NR","31.100025","77.166597","11/01/2019","23.90","2019-01-11"
"J&K","NR","33.450000","76.240000","11/01/2019","37.30","2019-01-11"
"Chandigarh","NR","30.719997","76.780006","11/01/2019","3.40","2019-01-11"
"Chhattisgarh","WR","22.090420","82.159987","11/01/2019","80.70","2019-01-11"
"Gujarat","WR","22.258700","71.192400","11/01/2019","275.00","2019-01-11"
"MP","WR","21.300391","76.130019","11/01/2019","154.30","2019-01-11"
"Maharashtra","WR","19.250232","73.160175","11/01/2019","405.20","2019-01-11"
"Goa","WR","15.491997","73.818001","11/01/2019","12.10","2019-01-11"
"DNH","WR","20.266578","73.016618","11/01/2019","16.90","2019-01-11"
"Andhra Pradesh","SR","14.750429","78.570026","11/01/2019","167.70","2019-01-11"
"Telangana","SR","18.112400","79.019300","11/01/2019","166.70","2019-01-11"
"Karnataka","SR","12.570381","76.919997","11/01/2019","157.00","2019-01-11"
"Kerala","SR","8.900373","76.569993","11/01/2019","67.40","2019-01-11"
"Tamil Nadu","SR","12.920386","79.150042","11/01/2019","270.50","2019-01-11"
"Pondy","SR","11.934994","79.830000","11/01/2019","7.10","2019-01-11"
"Bihar","ER","25.785414","87.479973","11/01/2019","76.20","2019-01-11"
"Jharkhand","ER","23.800393","86.419986","11/01/2019","23.30","2019-01-11"
"Odisha","ER","19.820430","85.900017","11/01/2019","78.40","2019-01-11"
"West Bengal","ER","22.580390","88.329947","11/01/2019","149.80","2019-01-11"
"Sikkim","ER","27.333330","88.616648","11/01/2019","0.80","2019-01-11"
"Arunachal Pradesh","NER","27.100399","93.616601","11/01/2019","2.10","2019-01-11"
"Assam","NER","26.749981","94.216667","11/01/2019","27.90","2019-01-11"
"Manipur","NER","24.799971","93.950017","11/01/2019","2.40","2019-01-11"
"Meghalaya","NER","25.570492","91.880014","11/01/2019","6.20","2019-01-11"
"Mizoram","NER","23.710399","92.720015","11/01/2019","1.80","2019-01-11"
"Nagaland","NER","25.666998","94.116570","11/01/2019","2.10","2019-01-11"
"Tripura","NER","23.835404","91.279999","11/01/2019","4.30","2019-01-11"
"Punjab","NR","31.519974","75.980003","12/01/2019","137.90","2019-01-12"
"Haryana","NR","28.450006","77.019991","12/01/2019","151.90","2019-01-12"
"Rajasthan","NR","26.449999","74.639981","12/01/2019","189.90","2019-01-12"
"Delhi","NR","28.669993","77.230004","12/01/2019","92.60","2019-01-12"
"UP","NR","27.599981","78.050006","12/01/2019","298.60","2019-01-12"
"Uttarakhand","NR","30.320409","78.050006","12/01/2019","34.70","2019-01-12"
"HP","NR","31.100025","77.166597","12/01/2019","26.40","2019-01-12"
"J&K","NR","33.450000","76.240000","12/01/2019","34.60","2019-01-12"
"Chandigarh","NR","30.719997","76.780006","12/01/2019","4.00","2019-01-12"
"Chhattisgarh","WR","22.090420","82.159987","12/01/2019","85.20","2019-01-12"
"Gujarat","WR","22.258700","71.192400","12/01/2019","294.10","2019-01-12"
"MP","WR","21.300391","76.130019","12/01/2019","161.10","2019-01-12"
"Maharashtra","WR","19.250232","73.160175","12/01/2019","421.80","2019-01-12"
"Goa","WR","15.491997","73.818001","12/01/2019","12.20","2019-01-12"
"DNH","WR","20.266578","73.016618","12/01/2019","17.60","2019-01-12"
"Andhra Pradesh","SR","14.750429","78.570026","12/01/2019","168.10","2019-01-12"
"Telangana","SR","18.112400","79.019300","12/01/2019","173.20","2019-01-12"
"Karnataka","SR","12.570381","76.919997","12/01/2019","163.50","2019-01-12"
"Kerala","SR","8.900373","76.569993","12/01/2019","69.90","2019-01-12"
"Tamil Nadu","SR","12.920386","79.150042","12/01/2019","298.40","2019-01-12"
"Pondy","SR","11.934994","79.830000","12/01/2019","8.00","2019-01-12"
"Bihar","ER","25.785414","87.479973","12/01/2019","82.30","2019-01-12"
"Jharkhand","ER","23.800393","86.419986","12/01/2019","24.30","2019-01-12"
"Odisha","ER","19.820430","85.900017","12/01/2019","82.40","2019-01-12"
"West Bengal","ER","22.580390","88.329947","12/01/2019","154.70","2019-01-12"
"Sikkim","ER","27.333330","88.616648","12/01/2019","1.00","2019-01-12"
"Arunachal Pradesh","NER","27.100399","93.616601","12/01/2019","2.10","2019-01-12"
"Assam","NER","26.749981","94.216667","12/01/2019","30.10","2019-01-12"
